lei,respondent_name,respondent_city,respondent_state,type_name,respondent_rssd
25490023H7X3L32H8F50,ATHENS FED COMMUNITY BANK,Athens,TN,Bank or Affiliate,807272
5493001CF53JP3UQ0024,NEWFIRST NAT BANK,El Campo,TX,Bank or Affiliate,938859
549300RX3OHHKBC2EQ32,WOODFOREST NAT BANK,The Woodlands,TX,Bank or Affiliate,412751
549300FVFWA3UDV3I702,THE HONDO NAT BANK,Hondo,TX,Bank or Affiliate,77253
54930031J0Z4IG9PQZ65,TEXAS GULF BANK,Houston,TX,Bank or Affiliate,514655
549300L66TXE6HC20R70,THE OZONA NAT BANK,Ozona,TX,Bank or Affiliate,780263
549300U1RXPGUIKOLB91,CITIZENS NAT BANK,Cameron,TX,Bank or Affiliate,59352
254900D3ZSLR3VYI9A24,THE 1ST NAT BANK OF SHINER,Shiner,TX,Bank or Affiliate,342362
549300E48FRXMPIEQ102,THE 1ST NAT BANK OF BEEVILLE,Beeville,TX,Bank or Affiliate,28255
5493007OBKQ5JCQ4JR36,1ST NAT BANK OF SOUTH PADRE ISLAND,South Padre Island,TX,Bank or Affiliate,346566
549300BFTWW1HFL7JF90,CENDERA BANK,Bells,TX,Bank or Affiliate,89957
2549005IUIJTSX4P5695,THE 1ST NAT BANK OF BELLVILLE,Bellville,TX,Bank or Affiliate,91754
549300SELN3W78HGZ824,ICON BANK OF TEXAS,Houston,TX,Bank or Affiliate,3559938
549300SG7DAVFO3NTC34,COMMERCIAL NAT BANK OF TEXARKANA,Texarkana,TX,Bank or Affiliate,794149
549300YBM0K5N6REP663,GILMER NAT BANK GILMER TEXAS,Gilmer,TX,Bank or Affiliate,323651
549300P3IKHVYBR1E510,THE 1ST NAT BANK OF WINNSBORO,Winnsboro,TX,Bank or Affiliate,501767
549300I0XDGOI1TCSW28,POST OAK BANK,Houston,TX,Bank or Affiliate,3274772
5493003WHB7TFLYQFS12,LUBBOCK NAT BANK,Lubbock,TX,Bank or Affiliate,766258
549300TOX22KEAVGGB27,CAPTEX BANK,Trenton,TX,Bank or Affiliate,419460
5493004KLDVVA608R237,TEXAS HERITAGE NAT BANK,Daingerfield,TX,Bank or Affiliate,824653
549300D1D2WPHU5URX88,CITIZENS BANK,Abilene,TX,Bank or Affiliate,617051
549300SS41NEZDLCGD86,BANK OF DESOTO,DeSoto,TX,Bank or Affiliate,638355
549300IPOYGXY3GXY258,GREEN BANK,Houston,TX,Bank or Affiliate,2719427
2549000JPXK5I949AM33,THE 1ST NAT BANK OF BALLINGER,Ballinger,TX,Bank or Affiliate,160454
549300RZIWJWJ035S336,1ST-LOCKHART NAT BANK,Lockhart,TX,Bank or Affiliate,631150
549300QWEDZGLJE73X04,ACCESS NAT BANK,Reston,VA,Bank or Affiliate,2859903
254900LKMWWJL6KYD684,1ST AMER BANK,Hudson,WI,Bank or Affiliate,3595682
